Index	Reagents	Products	Rule	Energy Change
9_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(CO)=O', 'C(C(C(CO)O)O)=O']	Retro Aldol	13.37
9_1	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(CO)=O', 'C(C(C(CO)O)O)=O']	Knoevenagel H (inv)	13.37
11_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(CO)(C(C(C(CO)O)O)O)=O']	Keto-enol migration twice	-2.0
14_0	['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(C(C(CO)O)O)O)O)=O', 'O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(C(C(CO)O)O)O)O)O']	Cannizarro 2, glucose (oxidation)	-17.27
14_1	['C(C(C(C(C(CO)O)O)O)O)=O', 'C(C(C(C(C(CO)O)O)O)O)=O', 'O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O', 'C(C(C(C(C(CO)O)O)O)O)O']	Cannizarro 2, glucose (reduction)	-17.27
17_0	['C(CN)(O)=O']	['CN', 'C(=O)=O']	Ketone-Catalyzed Decarboxylation	-46.78
19_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(CC(C(CO)O)O)=O)=O']	Elimination + enol to keto	-41.01
21_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(CC(C(C(CO)O)O)=O)=O']	Elimination + enol to keto	-53.84
23_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(CC(CO)O)=O)O)=O']	Elimination + enol to keto	-97.97
25_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(CC(C=O)O)(C(CO)O)=O']	Elimination + enol to keto	-41.01
27_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(C=O)O)O)(CCO)=O']	Elimination + enol to keto	-41.01
29_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(CC(CO)=O)O)O)=O']	Elimination + enol to keto	-41.01
31_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(C(C(C(C(C)=O)O)O)O)=O']	Elimination + enol to keto	-45.4
33_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['O', 'C(CC(C(C(C=O)O)O)O)=O']	Elimination + enol to keto	-39.01
35_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(C(C1C(C(C(O)O1)O)O)O)O']	Hemiacetal Formation for 5 membered rings	-1.45
37_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C(C1C(C(C(C(O)O1)O)O)O)O']	Hemiacetal Formation for 6 membered rings	-4.15
39_0	['C(C(C(C(C(CO)O)O)O)O)=O']	['C1C(C(C(C(C(O)O1)O)O)O)O']	Hemiacetal Formation for 7 membered rings	-7.01
42_0	['C(CN)(O)=O', 'C(C(C(C(C(CO)O)O)O)O)=O']	['C(C(C(C(C(CN)O)O)O)O)O', 'C(C(O)=O)=O']	Transamination (inverse)	7.61
44_0	['C(CN)(O)=O', 'C(C(C(C(C(CO)O)O)O)O)=O']	['C(=O)=O', 'C(C(C(C(C(CN)O)O)O)O)O', 'C=O']	Strecker Degradation, HC	-31.42
46_0	['C(C(C(C(C(CO)O)O)O)O)=O', '[Fe+3]']	['[Fe+3]', 'C(C(CC(C(CO)O)O)O)(O)=O']	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	-56.28
48_0	['C(C(C(C(C(CO)O)O)O)O)=O', '[Fe+3]', '[Fe+3]']	['[H+]', '[H+]', '[Fe+2]', '[Fe+2]', 'C(C(C(C(C(CO)O)O)O)=O)=O']	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	NaN
49_0	['C(C(C(C(C(CO)O)O)O)O)=O', '[OH-]', '[Fe+3]', '[Fe+3]']	['[H+]', '[Fe+2]', '[Fe+2]', 'C(C(C(C(C(CO)O)O)O)O)(O)=O']	Fe3 ---> Fe2 Aldehyde to acid	NaN
51_0	['C(C(C(C=O)O)O)(CCO)=O']	['C1(C(C(C(C1CO)O)O)O)=O']	Aldol Condensation	-88.27
51_1	['C(C(C(C=O)O)O)(CCO)=O']	['C1(C(C(C(C1CO)O)O)O)=O']	Knoevenagel C	-88.27
53_0	['C(C(C(CC(CO)=O)O)O)=O']	['C1(C(C(C(C(C1)O)O)O)O)=O']	Aldol Condensation	-91.12
53_1	['C(C(C(CC(CO)=O)O)O)=O']	['C1(C(C(C(C(C1)O)O)O)O)=O']	Knoevenagel H	-91.12
54_0	['C(C(C(C(C(C)=O)O)O)O)=O']	['C1(C(C(C(C(C1)O)O)O)O)=O']	Aldol Condensation	-86.73
56_0	['C(CC(C(C(C=O)O)O)O)=O']	['C(C1C(C(C(C1O)O)O)O)=O']	Aldol Condensation	-68.51
56_1	['C(CC(C(C(C=O)O)O)O)=O']	['C(C1C(C(C(C1O)O)O)O)=O']	Knoevenagel C	-68.51
57_0	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Aldol Condensation	-16.39
57_1	['C(CO)=O', 'C(CO)=O']	['C(C(C(CO)O)O)=O']	Knoevenagel H	-16.39
58_0	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Aldol Condensation	-13.37
58_1	['C(CO)=O', 'C(C(C(CO)O)O)=O']	['C(C(C(C(C(CO)O)O)O)O)=O']	Knoevenagel H	-13.37
60_0	['C(CO)=O', 'C(=O)=O']	['C(C(C=O)O)(O)=O']	Aldol Condensation	63.56
60_1	['C(CO)=O', 'C(=O)=O']	['C(C(C=O)O)(O)=O']	Knoevenagel H	63.56
62_0	['C(CO)=O', 'C(C(O)=O)=O']	['C(C(C(C=O)O)O)(O)=O']	Aldol Condensation	-17.12
62_1	['C(CO)=O', 'C(C(O)=O)=O']	['C(C(C(C=O)O)O)(O)=O']	Knoevenagel H	-17.12
64_0	['C(CO)=O', 'C=O']	['C(C(CO)O)=O']	Aldol Condensation	-32.62
64_1	['C(CO)=O', 'C=O']	['C(C(CO)O)=O']	Knoevenagel H	-32.62
66_0	['C(C(CC(C(CO)O)O)=O)=O', 'C=O']	['C(C(C(CO)C(C(CO)O)O)=O)=O']	Aldol Condensation	-22.87
66_1	['C(C(CC(C(CO)O)O)=O)=O', 'C=O']	['C(C(C(CO)C(C(CO)O)O)=O)=O']	Knoevenagel C	-22.87
68_0	['C(CC(C(C(CO)O)O)=O)=O', 'C=O']	['C(C(C(C(C(CO)O)O)=O)CO)=O']	Aldol Condensation	-10.04
68_1	['C(CC(C(C(CO)O)O)=O)=O', 'C=O']	['C(C(C(C(C(CO)O)O)=O)CO)=O']	Knoevenagel C	-10.04
70_0	['C(C(C(CC(CO)O)=O)O)=O', 'C=O']	['C(C(C(C(CO)C(CO)O)=O)O)=O']	Aldol Condensation	34.08
70_1	['C(C(C(CC(CO)O)=O)O)=O', 'C=O']	['C(C(C(C(CO)C(CO)O)=O)O)=O']	Knoevenagel C	34.08
72_0	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(C(CO)C(C=O)O)(C(CO)O)=O']	Aldol Condensation	-22.87
72_1	['C(CC(C=O)O)(C(CO)O)=O', 'C=O']	['C(C(CO)C(C=O)O)(C(CO)O)=O']	Knoevenagel C	-22.87
74_0	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(C(C=O)O)O)(C(CO)CO)=O']	Aldol Condensation	-22.87
74_1	['C(C(C(C=O)O)O)(CCO)=O', 'C=O']	['C(C(C(C=O)O)O)(C(CO)CO)=O']	Knoevenagel C	-22.87
76_0	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(C(C(C(CO)=O)CO)O)O)=O']	Aldol Condensation	-22.87
76_1	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(C(C(C(CO)=O)CO)O)O)=O']	Knoevenagel C	-22.87
78_0	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(CO)O)(CC(C(C=O)O)O)=O']	Aldol Condensation	-29.6
78_1	['C(C(C(CC(CO)=O)O)O)=O', 'C=O']	['C(C(CO)O)(CC(C(C=O)O)O)=O']	Knoevenagel H	-29.6
80_0	['C(C(C(C(C(C)=O)O)O)O)=O', 'C=O']	['C(C(C(C(C=O)O)O)O)(CCO)=O']	Aldol Condensation	-25.21
82_0	['C(CC(C(C(C=O)O)O)O)=O', 'C=O']	['C(C(CO)C(C(C(C=O)O)O)O)=O']	Aldol Condensation	-22.87
82_1	['C(CC(C(C(C=O)O)O)O)=O', 'C=O']	['C(C(CO)C(C(C(C=O)O)O)O)=O']	Knoevenagel C	-22.87
83_0	['O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(CC(C(CO)O)O)O)(O)=O']	Benzilic Acid Rearrangement	-15.27
83_1	['O', 'C(C(CC(C(CO)O)O)=O)=O']	['C(C(CC(C(CO)O)O)O)(O)=O']	Cannizarro 1	-15.27
84_0	['O', 'C(C(C(C(C(CO)O)O)O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	Benzilic Acid Rearrangement	-15.27
84_1	['O', 'C(C(C(C(C(CO)O)O)O)=O)=O']	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	Cannizarro 1	-15.27
85_0	['C(C(C(C(C(CO)O)O)O)O)(O)=O']	['O', 'C(C(C(C(C(CO)O)O)O)=O)=O']	Benzilic Acid Rearrangement (inverse)	15.27
86_0	['C(C(CC(C(CO)O)O)O)(O)=O']	['O', 'C(C(CC(C(CO)O)O)=O)=O']	Benzilic Acid Rearrangement (inverse)	15.27
87_0	['C(C(C(CO)O)O)=O']	['C(CO)=O', 'C(CO)=O']	Retro Aldol	16.39
87_1	['C(C(C(CO)O)O)=O']	['C(CO)=O', 'C(CO)=O']	Knoevenagel H (inv)	16.39
89_0	['C(CO)(C(C(C(CO)O)O)O)=O']	['C(C(CO)O)=O', 'C(CO)(CO)=O']	Retro Aldol	10.17
89_1	['C(CO)(C(C(C(CO)O)O)O)=O']	['C(C(CO)O)=O', 'C(CO)(CO)=O']	Knoevenagel H (inv)	10.17
91_0	['C(C(CC(C(CO)O)O)=O)=O']	['C(C(CO)O)=O', 'C(C(C)=O)=O']	Retro Aldol	4.31
93_0	['C(CC(C(C(CO)O)O)=O)=O']	['C(CO)=O', 'C(CC(CO)=O)=O']	Retro Aldol	18.01
93_1	['C(CC(C(C(CO)O)O)=O)=O']	['C(CO)=O', 'C(CC(CO)=O)=O']	Knoevenagel H (inv)	18.01
95_0	['C(C(C(CC(CO)O)=O)O)=O']	['C(CO)=O', 'C(C(C(C)=O)O)=O']	Retro Aldol	8.98
98_0	['C(CC(C=O)O)(C(CO)O)=O']	['C(C=O)=O', 'C(C)(C(CO)O)=O']	Retro Aldol	5.96
